"","name","pop_total","pop_nhWhite","pop_black","pop_Hisp","popPctBlk","popPctHisp","Households","HHEnglish","HHPctNonEnglish","HHPctLingIsolated","PctForeignBorn","FamMedInc","FamMedIncBlk","FamMedIncHisp","FamMedIncNHWht","PctPovBlk","PctPovHisp","PctPovNHWht","PctAllPov","PctCrowdedBlk","PctCrowdedHisp","PctCrowdedNHWht","HHmedValueBlk","HHmedValueHisp","HHmedValueNHWht","X","X2006.2005","ALLpop2005","ALLpop2006","ALLpop2007","ALLpc0506","ALLpc0507","ALLpc0607","Wpop2005","Wpop2006","Wpop2007","Wpc0506","Wpc0507","Wpc0607","WFpop2005","WFpop2006","WFpop2007","WFpc0506","WFpc0507","WFpc0607","WMpop2005","WMpop2006","WMpop2007","WMpc0506","WMpc0507","WMpc0607","Bpop2005","Bpop2006","Bpop2007","Bpc0506","Bpc0507","Bpc0607","BFpop2005","BFpop2006","BFpop2007","BFpc0506","BFpc0507","BFpc0607","BMpop2005","BMpop2006","BMpop2007","BMpc0506","BMpc0507","BMpc0607","Hpop2005","Hpop2006","Hpop2007","Hpc0506","Hpc0507","Hpc0607","HFpop2005","HFpop2006","HFpop2007","HFpc0506","HFpc0507","HFpc0607","HMpop2005","HMpop2006","HMpop2007","HMpc0506","HMpc0507","HMpc0607","Apop2005","Apop2006","Apop2007","Apc0506","Apc0507","Apc0607","AFpop2005","AFpop2006","AFpop2007","AFpc0506","AFpc0507","AFpc0607","AMpop2005","AMpop2006","AMpop2007","AMpc0506","AMpc0507","AMpc0607"
"22029","Concordia",20247,12136,7603,283,0.3755,0.014,7538,7164,0.0496,0.0041,0.0128,28629,14320,29063,36241,0.4744,0.0323,0.127,0.2911,0.0845,0.1373,0.0239,34700,102500,62800,NA,-0.91,18949,19225,19058,1.45654124228191,0.575228244234524,-0.868660598179454,11084,10953,10816,-1.18188379646337,-2.41789967520751,-1.25079886789008,5687,5610,5540,-1.35396518375242,-2.58484262352734,-1.24777183600713,5397,5343,5276,-1.00055586436909,-2.24198628867890,-1.25397716638593,7406,7783,7746,5.09046718876587,4.59087226573049,-0.475395091866889,3840,4035,4014,5.078125,4.53125,-0.520446096654275,3566,3748,3732,5.10375771172182,4.65507571508693,-0.426894343649947,236,264,267,11.8644067796610,13.1355932203390,1.13636363636364,73,84,86,15.0684931506849,17.8082191780822,2.38095238095238,163,180,181,10.4294478527607,11.0429447852761,0.555555555555556,70,72,73,2.85714285714286,4.28571428571429,1.38888888888889,18,18,18,0,0,0,19,19,19,0,0,0
"22031","De Soto",25494,14053,10488,492,0.4114,0.0193,9680,9149,0.0549,0.0023,0.0097,33196,20550,25500,42700,0.3741,0.3727,0.1092,0.2506,0.074,0.2647,0.0194,40200,84100,69000,NA,0.22,25977,26061,26269,0.323362974939369,1.12407129383686,0.798127470166149,14663,14675,14817,0.0818386414785515,1.05026256564141,0.96763202725724,7459,7462,7531,0.0402198686150959,0.9652768467623,0.924685071026534,7204,7213,7286,0.124930594114381,1.13825652415325,1.01206155552475,10550,10592,10615,0.398104265402844,0.616113744075829,0.21714501510574,5761,5782,5782,0.364520048602673,0.364520048602673,0,4789,4810,4833,0.438504907078722,0.91877218626018,0.478170478170478,406,427,457,5.17241379310345,12.5615763546798,7.02576112412178,185,197,211,6.48648648648649,14.0540540540541,7.10659898477157,221,230,246,4.07239819004525,11.3122171945701,6.95652173913043,38,41,45,7.89473684210526,18.4210526315789,9.7560975609756,64,65,65,1.5625,1.5625,0,70,72,72,2.85714285714286,2.85714285714286,0
"22033","East Baton Rouge",412852,227677,163054,7704,0.3949,0.0187,156521,139703,0.1074,0.0136,0.0375,47480,27489,42917,63018,0.2687,0.172,0.0385,0.1787,0.0932,0.0861,0.0149,66900,95100,118600,NA,0.26,412196,431278,430317,4.62935108540597,4.39620957020447,-0.222826112159674,214118,213789,211067,-0.153653592878693,-1.42491523365621,-1.27321798595812,109623,109380,107819,-0.221668810377384,-1.64564005728725,-1.42713475955385,104495,104409,103248,-0.0823005885449065,-1.19335853390114,-1.11197310576674,174898,192238,193332,9.91435007833137,10.5398575169527,0.569086236852235,93284,102504,103033,9.88379572059517,10.4508811800523,0.516077421368922,81614,89734,90299,9.94927340897395,10.6415565956821,0.629638709965008,8652,9551,10065,10.3906611188165,16.3314840499307,5.38163543084494,4058,4486,4700,10.5470675209463,15.8206012814194,4.77039679001337,4594,5065,5365,10.2525032651284,16.7827601218981,5.92300098716683,9957,10589,10527,6.34729336145425,5.72461584814703,-0.585513268486165,465,485,514,4.30107526881720,10.5376344086022,5.97938144329897,528,556,570,5.3030303030303,7.95454545454545,2.51798561151079
"22035","East Carroll",9421,2925,6323,116,0.6712,0.0123,2968,2805,0.0549,0.0027,0.0088,24554,16299,11827,36321,0.4869,0.6667,0.0824,0.4046,0.112,0.2353,0.0168,27900,32800,50400,NA,-5.37,8467,8319,8302,-1.7479626786347,-1.9487421755049,-0.204351484553432,2627,2482,2448,-5.51960411115341,-6.81385610963076,-1.36986301369863,1276,1198,1188,-6.1128526645768,-6.89655172413793,-0.834724540901502,1351,1284,1260,-4.95928941524796,-6.73575129533679,-1.86915887850467,5686,5682,5700,-0.0703482237073514,0.24621878297573,0.316789862724393,2765,2761,2770,-0.144665461121157,0.180831826401447,0.325968851865266,2921,2921,2930,0,0.30811365970558,0.30811365970558,72,72,72,0,0,0,33,33,33,0,0,0,39,39,39,0,0,0,36,36,35,0,-2.77777777777778,-2.77777777777778,11,11,11,0,0,0,6,6,6,0,0,0
"22037","East Feliciana",21360,10973,10037,130,0.4699,0.0061,6687,6301,0.0577,0.006,0.0057,37278,23203,36786,49583,0.3324,0.3056,0.0759,0.2301,0.1227,0.25,0.0335,55100,47500,89900,NA,0.84,20557,21017,20833,2.23768059541762,1.34260835725057,-0.875481752866727,11002,11087,11074,0.772586802399564,0.654426467914925,-0.117254442139443,5262,5290,5286,0.532117065754466,0.456100342075257,-0.0756143667296786,5740,5797,5788,0.993031358885017,0.83623693379791,-0.155252716922546,9205,9562,9380,3.87832699619772,1.90114068441065,-1.90336749633968,4162,4280,4184,2.83517539644402,0.528592023065834,-2.24299065420561,5043,5282,5196,4.73924251437636,3.03390838786437,-1.62817114729269,130,138,141,6.15384615384615,8.46153846153846,2.17391304347826,57,59,60,3.50877192982456,5.26315789473684,1.69491525423729,73,79,81,8.21917808219178,10.9589041095890,2.53164556962025,69,70,72,1.44927536231884,4.34782608695652,2.85714285714286,20,20,20,0,0,0,17,17,17,0,0,0
"22039","Evangeline",35434,24763,10010,298,0.2825,0.0084,12769,6861,0.4627,0.0834,0.0063,27243,12456,17857,34322,0.5555,0.3676,0.1721,0.3223,0.1416,0,0.05,39600,44400,56700,NA,0.37,35227,35675,35905,1.27175178130411,1.92466006188435,0.644709180098108,24118,24200,24361,0.339995024463057,1.00754623103077,0.665289256198347,12212,12250,12330,0.311169341631182,0.966262692433672,0.653061224489796,11906,11950,12031,0.369561565597178,1.04989081135562,0.677824267782427,10424,10770,10805,3.31926323867997,3.65502686108979,0.324976787372331,5076,5271,5299,3.84160756501182,4.39322301024429,0.531208499335989,5348,5499,5506,2.82348541510845,2.95437546746447,0.127295871976723,310,319,335,2.90322580645161,8.06451612903226,5.01567398119122,131,136,142,3.81679389312977,8.3969465648855,4.41176470588235,179,183,193,2.23463687150838,7.82122905027933,5.46448087431694,118,126,135,6.77966101694915,14.4067796610169,7.14285714285714,48,48,49,0,2.08333333333333,2.08333333333333,47,47,48,0,2.12765957446809,2.12765957446809
"22041","Franklin",21263,14170,6650,87,0.3127,0.0041,7789,7504,0.0366,0.0019,0.006,27440,14103,24750,32450,0.5136,0.1538,0.1223,0.2844,0.1223,0.1579,0.0294,34200,87500,53000,NA,-1.43,20170,20091,20060,-0.391670798215171,-0.545364402578086,-0.154297944353193,13532,13333,13345,-1.47058823529412,-1.38190954773869,0.0900022500562514,7010,6901,6903,-1.55492154065621,-1.52639087018545,0.0289813070569483,6522,6432,6442,-1.37994480220791,-1.22661760196259,0.155472636815920,6289,6401,6347,1.78088726347591,0.92224519001431,-0.843618184658647,3374,3430,3401,1.65975103734440,0.80023710729105,-0.845481049562682,2915,2971,2946,1.92109777015437,1.06346483704974,-0.841467519353753,128,131,135,2.34375,5.46875,3.05343511450382,55,55,57,0,3.63636363636364,3.63636363636364,73,76,78,4.10958904109589,6.84931506849315,2.63157894736842,37,39,40,5.40540540540541,8.10810810810811,2.56410256410256,28,28,30,0,7.14285714285714,7.14285714285714,31,31,32,0,3.2258064516129,3.2258064516129
"22043","Grant",18698,15934,2173,125,0.1162,0.0067,7056,6683,0.0529,0.0026,0.0053,34878,15851,42656,36411,0.4245,0,0.1362,0.2148,0.0748,0.1739,0.0277,36500,65000,60400,NA,1.64,19296,19713,19758,2.16106965174129,2.39427860696517,0.228275757114594,16327,16593,16637,1.62920316040914,1.89869541250689,0.265172060507443,8239,8385,8411,1.77205971598495,2.08763199417405,0.310077519379845,8088,8208,8226,1.48367952522255,1.70623145400593,0.219298245614035,2265,2393,2367,5.65121412803532,4.50331125827815,-1.08650229837025,1224,1285,1268,4.98366013071895,3.59477124183007,-1.32295719844358,1041,1108,1099,6.43611911623439,5.57156580211335,-0.812274368231047,210,215,219,2.38095238095238,4.28571428571429,1.86046511627907,99,101,103,2.02020202020202,4.04040404040404,1.98019801980198,111,114,116,2.70270270270270,4.5045045045045,1.75438596491228,55,61,68,10.9090909090909,23.6363636363636,11.4754098360656,94,96,99,2.12765957446809,5.31914893617021,3.125,82,83,85,1.21951219512195,3.65853658536585,2.40963855421687
"22045","Iberia",73266,47109,21967,1062,0.2998,0.0145,25319,18725,0.2604,0.0297,0.0203,36017,19386,31667,42722,0.4217,0.1868,0.1132,0.2355,0.1322,0.1684,0.0453,55700,82700,80000,NA,0.06,73654,74690,74965,1.40657669644554,1.77994406278003,0.368188512518409,46701,46702,46675,0.00214128177126828,-0.0556733260529753,-0.057813369877093,23931,23926,23904,-0.0208934018636914,-0.112824370063934,-0.0919501797208058,22770,22776,22771,0.0263504611330698,0.00439174352217830,-0.021952932911837,23316,24234,24402,3.937210499228,4.65774575398868,0.693240901213172,12495,13003,13088,4.0656262505002,4.74589835934374,0.653695301084365,10821,11231,11314,3.78892893447925,4.5559560114592,0.739025910426498,1113,1139,1206,2.33602875112309,8.35579514824798,5.88235294117647,509,520,547,2.16110019646365,7.4656188605108,5.19230769230769,604,619,659,2.48344370860927,9.10596026490066,6.46203554119548,1566,1643,1691,4.91698595146871,7.98212005108557,2.92148508825320,124,126,126,1.61290322580645,1.61290322580645,0,153,153,154,0,0.65359477124183,0.65359477124183
"22047","Iberville",33320,16244,16438,429,0.4933,0.0129,10672,9683,0.0927,0.0052,0.0068,34100,21521,33438,46227,0.3589,0.165,0.0697,0.2311,0.104,0.1029,0.0275,59700,77900,87900,NA,-0.24,32229,32847,32501,1.91752769245090,0.843960408327903,-1.05336864858282,15653,15595,15452,-0.370535999488916,-1.28409889478055,-0.916960564283424,7889,7863,7790,-0.329572822917987,-1.25491190264926,-0.928398829963118,7764,7732,7662,-0.412158681092220,-1.31375579598145,-0.90532850491464,15988,16636,16424,4.05303977983488,2.72704528396297,-1.27434479442174,7958,8308,8199,4.39808997235486,3.02839909525006,-1.31198844487241,8030,8328,8225,3.71108343711083,2.42839352428394,-1.23679154658982,291,311,316,6.87285223367698,8.59106529209622,1.60771704180064,157,166,169,5.73248407643312,7.64331210191083,1.80722891566265,134,145,147,8.2089552238806,9.70149253731343,1.37931034482759,97,100,96,3.09278350515464,-1.03092783505155,-4,27,28,29,3.70370370370370,7.40740740740741,3.57142857142857,33,33,34,0,3.03030303030303,3.03030303030303
"22049","Jackson",15397,10879,4312,43,0.2801,0.0028,6114,5891,0.0365,3e-04,0.0045,36317,21557,24583,41664,0.3706,0,0.0852,0.1984,0.0803,0.6,0.0241,44700,47500,56700,NA,0.48,15068,15265,15139,1.30740642421025,0.471197239182373,-0.825417622011137,10691,10738,10653,0.43962211205687,-0.355439154428959,-0.791581300055876,5498,5519,5480,0.381957075300109,-0.327391778828665,-0.70664975539047,5193,5219,5173,0.500673984209513,-0.385133834007318,-0.881394903238168,4091,4233,4187,3.47103397702273,2.34661451967734,-1.08669974013702,2260,2333,2308,3.23008849557522,2.12389380530973,-1.07158165452207,1831,1900,1879,3.76843255051884,2.62151829601311,-1.10526315789474,136,141,144,3.67647058823529,5.88235294117647,2.12765957446809,63,65,66,3.17460317460317,4.76190476190476,1.53846153846154,73,76,78,4.10958904109589,6.84931506849315,2.63157894736842,40,41,40,2.5,0,-2.4390243902439,20,20,20,0,0,0,28,28,28,0,0,0
"22051","Jefferson",455466,298244,103335,32227,0.2269,0.0708,176424,147868,0.1619,0.0265,0.0748,45834,27747,38940,52466,0.271,0.1178,0.0555,0.1365,0.1158,0.1623,0.0216,74800,95100,116000,NA,-5.92,449640,420891,423520,-6.39378169202028,-5.8090917178187,0.624627278796648,272757,255970,250535,-6.15456248602236,-8.14717862419663,-2.12329569871469,141358,133133,130105,-5.81855996830742,-7.96063894508977,-2.27441731201130,131399,122837,120430,-6.5160313244393,-8.3478565285885,-1.95950731457134,118509,108866,114472,-8.13693474757191,-3.40649233391557,5.14944978230118,63257,57817,60784,-8.59983875302338,-3.90944875665934,5.13170866700105,55252,51049,53688,-7.60696445377543,-2.83066676319409,5.16954298810946,35318,33879,36084,-4.07440964947052,2.16886573418653,6.50845656601435,17849,17220,18207,-3.52400694716791,2.00571460586027,5.73170731707317,17469,16659,17877,-4.63678516228748,2.33556585952258,7.31136322708446,15402,14996,14989,-2.63602129593559,-2.68146993896897,-0.0466791144305148,1120,1019,1063,-9.01785714285714,-5.08928571428571,4.31795878312071,1192,1055,1097,-11.4932885906040,-7.96979865771812,3.98104265402844
"22053","Jefferson Davis",31435,25118,5407,402,0.172,0.0128,11519,7937,0.311,0.03,0.0058,33129,20608,35833,36192,0.3797,0.4342,0.1364,0.2087,0.078,0.2535,0.0365,46400,36400,62900,NA,0.51,30930,31257,31177,1.05722599418041,0.79857743291303,-0.255942668842179,24641,24762,24722,0.491051499533298,0.328720425307414,-0.161537840239076,12758,12830,12792,0.564351779275749,0.266499451324659,-0.296180826188620,11883,11932,11930,0.412353782714803,0.395523016073382,-0.0167616493462957,5469,5651,5580,3.32784786981167,2.02962150301701,-1.25641479384180,2911,3005,2963,3.22913088285812,1.78632772243215,-1.39767054908486,2558,2646,2617,3.44018764659891,2.30648944487881,-1.09599395313681,334,341,356,2.09580838323353,6.58682634730539,4.39882697947214,158,161,164,1.89873417721519,3.79746835443038,1.86335403726708,176,180,192,2.27272727272727,9.0909090909091,6.66666666666667,85,91,96,7.05882352941176,12.9411764705882,5.49450549450549,71,72,74,1.40845070422535,4.22535211267606,2.77777777777778,80,82,85,2.5,6.25,3.65853658536585
