"","x","y","id"
"171",1267118,-128886.9,"22"
"172",1264247,-128544.7,"22"
"173",1258979,-123358.6,"22"
"174",1260305,-121279.1,"22"
"175",1260666,-120504.6,"22"
"176",1260715,-119489.9,"22"
"177",1260626,-118900.9,"22"
"178",1258813,-111344.6,"22"
"179",1258731,-111008.8,"22"
"180",1258132,-110685.8,"22"
"181",1257233,-110201.1,"22"
"182",1255982,-110400.5,"22"
"183",1254670,-110910.2,"22"
"184",1252183,-112319.1,"22"
"185",1250592,-114105.6,"22"
"186",1249312,-115796.8,"22"
"187",1247097,-115933.5,"22"
"188",1246194,-115279,"22"
"189",1244969,-113844.1,"22"
"190",1240114,-115253.8,"22"
"191",1239709,-127852.3,"22"
"192",1233695,-134720.2,"22"
"193",1236380,-140512.4,"22"
"194",1236459,-140572.8,"22"
"195",1239148,-140171.8,"22"
"196",1241349,-137886.8,"22"
"197",1247119,-133782.9,"22"
"198",1247934,-133936.1,"22"
"199",1248063,-134262.7,"22"
"200",1247988,-134525.6,"22"
"201",1247452,-135321.4,"22"
"202",1241170,-139648.6,"22"
"203",1235713,-144887.6,"22"
"204",1234754,-145786.3,"22"
"205",1234720,-145818.2,"22"
"206",1233653,-146816.7,"22"
"207",1233338,-147111.5,"22"
"208",1226951,-152009,"22"
"209",1226618,-152264,"22"
"210",1226343,-152399.9,"22"
"211",1221861,-154609.8,"22"
"212",1210258,-157956.2,"22"
"213",1209723,-157883.1,"22"
"214",1209709,-157810.8,"22"
"215",1209600,-157234.7,"22"
"216",1211951,-155916.2,"22"
"217",1214030,-155630.8,"22"
"218",1215118,-155450.1,"22"
"219",1216079,-155034.8,"22"
"220",1218479,-153953.2,"22"
"221",1218961,-153705.2,"22"
"222",1220765,-151836.8,"22"
"223",1220705,-149778.6,"22"
"224",1216944,-141442.8,"22"
"225",1215400,-139137.8,"22"
"226",1212445,-134860.7,"22"
"227",1210793,-133542.3,"22"
"228",1207457,-133922.4,"22"
"229",1205484,-136329.3,"22"
"230",1203515,-142654,"22"
"231",1188755,-142026.8,"22"
"232",1180513,-150569.5,"22"
"233",1181379,-156739.6,"22"
"234",1161593,-160379.2,"22"
"235",1118823,-138218.1,"22"
"236",1116477,-136226.9,"22"
"237",1113304,-132620.3,"22"
"238",1113504,-131836.9,"22"
"239",1118929,-129113.3,"22"
"240",1125629,-125609.6,"22"
"241",1126573,-124579.9,"22"
"242",1126292,-122401.2,"22"
"243",1125093,-118933.9,"22"
"244",1124549,-117651.4,"22"
"245",1124183,-117226.1,"22"
"246",1119187,-112876.5,"22"
"247",1117029,-112818,"22"
"248",1112998,-111864.5,"22"
"249",1094000,-106986.4,"22"
"250",1093343,-103182.3,"22"
"251",1092876,-100028.7,"22"
"252",1091718,-95777.8,"22"
"253",1085039,-84446.16,"22"
"254",1083937,-83662.28,"22"
"255",1073824,-82984.74,"22"
"256",1072373,-83117.53,"22"
"257",1060416,-86156.5,"22"
"258",1051224,-77026.24,"22"
"259",1044926,-79566.58,"22"
"260",1042925,-80611.93,"22"
"261",1037993,-83723.78,"22"
"262",1034427,-86843.03,"22"
"263",1033958,-88992.64,"22"
"264",1035574,-93045.92,"22"
"265",1037625,-97330.64,"22"
"266",1039406,-97665.32,"22"
"267",1048629,-98283.88,"22"
"268",1055932,-95984.22,"22"
"269",1058239,-95546.06,"22"
"270",1061429,-96129.88,"22"
"271",1076417,-103446.3,"22"
"272",1076691,-103857.9,"22"
"273",1076459,-104607.5,"22"
"274",1070799,-111892.9,"22"
"275",1069652,-112574.1,"22"
"276",1065854,-113592.2,"22"
"277",1064208,-113053.4,"22"
"278",1045887,-103394.9,"22"
"279",1044503,-101763.5,"22"
"280",1043988,-101455.5,"22"
"281",1038208,-101259.2,"22"
"282",1033150,-101794.7,"22"
"283",1033100,-101800,"22"
"284",1027873,-103938,"22"
"285",1024070,-106512.6,"22"
"286",1021537,-107119.6,"22"
"287",1021304,-107175.3,"22"
"288",1020680,-107186.6,"22"
"289",1018959,-107217.6,"22"
"290",1018494,-107225.9,"22"
"291",994317.3,-103146.4,"22"
"292",988726.2,-102166.3,"22"
"293",988584.8,-102125.8,"22"
"294",985103,-101126.2,"22"
"295",976338.6,-97833.05,"22"
"296",968425,-94071.79,"22"
"297",964039.1,-91983.51,"22"
"298",957347.6,-88519.33,"22"
"299",954187.5,-87118.92,"22"
"300",954076,-87069.44,"22"
"301",943071.2,-83117.22,"22"
"302",934496.4,-80697.73,"22"
"303",929663,-79886.45,"22"
"304",925742.7,-79793.53,"22"
"305",905628.4,-80615.77,"22"
"306",899505.7,-81218.08,"22"
"307",890122.2,-82287.88,"22"
"308",885437.5,-82864.8,"22"
"309",879780.4,-84000.59,"22"
"310",879494.6,-84089.95,"22"
"311",878951.3,-84259.83,"22"
"312",877438.8,-84732.55,"22"
"313",874205.9,-86273.88,"22"
"314",872279.1,-87491.22,"22"
"315",870423.3,-88961.23,"22"
"316",870439.5,-64163.88,"22"
"317",882057.9,-49137.56,"22"
"318",882901.9,-27681.16,"22"
"319",880546.7,-10152.89,"22"
"320",880686.2,-10044.42,"22"
"321",884436.5,-7126.659,"22"
"322",884866.4,-6165.535,"22"
"323",884918.3,-5591.569,"22"
"324",883815.1,1358.355,"22"
"325",881228.3,4665.464,"22"
"326",880982.9,4979.376,"22"
"327",880995.6,5020.366,"22"
"328",882198.2,8880.53,"22"
"329",896787.7,34004.81,"22"
"330",898747.5,41389.13,"22"
"331",899664.7,76502.01,"22"
"332",895181.1,75507.1,"22"
"333",894421.9,81239.97,"22"
"334",893864.7,84908.42,"22"
"335",891480.5,97315.7,"22"
"336",883178.1,110199.2,"22"
"337",873307.5,121214.2,"22"
"338",869561,149877.2,"22"
"339",856768.9,165080.5,"22"
"340",854559.5,189080.7,"22"
"341",854842.9,210843,"22"
"342",855294.6,244191,"22"
"343",855615.8,265031.2,"22"
"344",855826.9,280363.8,"22"
"345",877168.4,280099.3,"22"
"346",878067.2,280085.7,"22"
"347",904599,279719.9,"22"
"348",907444.1,279674.2,"22"
"349",930982.5,279436.5,"22"
"350",954333,279227.3,"22"
"351",978975,278819.3,"22"
"352",NA,NA,"22"
"353",1080391,55126.86,"22"
"354",1080391,55126.86,"22"
"355",1077205,57903.69,"22"
"356",1080391,55126.86,"22"
"357",NA,NA,"22"
