"","x","y","id"
"159",871806,195232.7,"22017"
"160",868405.4,192354.1,"22017"
"161",863193,188913,"22017"
"162",854559.5,189080.7,"22017"
"163",854842.9,210843,"22017"
"164",855294.6,244191,"22017"
"165",855615.8,265031.2,"22017"
"166",855826.9,280363.8,"22017"
"167",877168.4,280099.3,"22017"
"168",NA,NA,"22017"
"169",978874.6,250558.6,"22061"
"170",986603,250524.6,"22061"
"171",990637.7,249916,"22061"
"172",993661.2,249117.8,"22061"
"173",1007968,240615.9,"22061"
"174",1007974,230944.5,"22061"
"175",1007955,221257.1,"22061"
"176",988503.6,221342.1,"22061"
"177",988563,216548.9,"22061"
"178",973937.6,216626.3,"22061"
"179",964248,231245.6,"22061"
"180",978874.6,250558.6,"22061"
"181",NA,NA,"22061"
"182",1040762,246566.4,"22073"
"183",1055153,222558.2,"22073"
"184",1043860,197128.3,"22073"
"185",1017724,197090.7,"22073"
"186",1017718,201893.5,"22073"
"187",1008474,211028.2,"22073"
"188",1007956,212375.4,"22073"
"189",1007955,221257.1,"22073"
"190",1007974,230944.5,"22073"
"191",1022407,230877.9,"22073"
"192",1025013,231559.5,"22073"
"193",1026037,232168.9,"22073"
"194",1038751,243590.5,"22073"
"195",1040762,246566.4,"22073"
"196",NA,NA,"22073"
"197",1099024,231324.7,"22083"
"198",1097912,226417.8,"22083"
"199",1096257,211763.9,"22083"
"200",1081610,211541.4,"22083"
"201",1078042,209652.5,"22083"
"202",1069494,200335.3,"22083"
"203",1064891,190792.2,"22083"
"204",1057095,183275.7,"22083"
"205",1043860,197128.3,"22083"
"206",1055153,222558.2,"22083"
"207",1058701,225498.5,"22083"
"208",1065439,229858,"22083"
"209",1071842,231750.6,"22083"
"210",1077716,234381.3,"22083"
"211",1078675,235334.6,"22083"
"212",1080028,237586.2,"22083"
"213",1080991,240202.7,"22083"
"214",1080896,240633.7,"22083"
"215",1084746,239248.4,"22083"
"216",1088540,231277.4,"22083"
"217",1099024,231324.7,"22083"
"218",NA,NA,"22083"
"219",1132351,229568.7,"22065"
"220",1129989,222599.4,"22065"
"221",1130073,220837.9,"22065"
"222",1130079,220715.4,"22065"
"223",1130313,220302.2,"22065"
"224",1130672,219668.4,"22065"
"225",1130772,219493.3,"22065"
"226",1140734,208104,"22065"
"227",1140785,192136.4,"22065"
"228",1129828,191187.9,"22065"
"229",1129853,191324.7,"22065"
"230",1129916,193727.9,"22065"
"231",1128736,194770.8,"22065"
"232",1128202,194800.4,"22065"
"233",1123921,194255.5,"22065"
"234",1113344,191305.6,"22065"
"235",1111671,190217.9,"22065"
"236",1111176,189365.5,"22065"
"237",1094962,189301,"22065"
"238",1096257,211763.9,"22065"
"239",1097912,226417.8,"22065"
"240",1132351,229568.7,"22065"
"241",NA,NA,"22065"
"242",964248,231245.6,"22013"
"243",973937.6,216626.3,"22013"
"244",970317.9,182644.4,"22013"
"245",958625.4,182799.7,"22013"
"246",935077.3,182975.3,"22013"
"247",912529.8,192843.4,"22013"
"248",917908.7,212121.8,"22013"
"249",930706.5,212017.7,"22013"
"250",939173.2,216965.9,"22013"
"251",939159.9,219683.7,"22013"
"252",936284,231370.5,"22013"
"253",964248,231245.6,"22013"
"254",NA,NA,"22013"
"255",973937.6,216626.3,"22049"
"256",988563,216548.9,"22049"
"257",988503.6,221342.1,"22049"
"258",1007955,221257.1,"22049"
