County,Total Air Releases
"Dallas, TX",691516.241
"Dane, WI",141403.6201
"Danville City, VA",31820.33
"Darke, OH",64798
"Darlington, SC",1890163.914
"Dauphin, PA",140273.0539
"Davidson, NC",91431.178
"Davidson, TN",560405.21
"Davie, NC",2941
"Daviess, IN",26114
"Daviess, KY",1098747.3
"Daviess, MO",0
"Davis, IA",0
"Davis, UT",214097.914
"Davison, SD",7515
"Dawson, NE",7072.7
"Day, SD",14994
"De Soto, LA",3832631.5
"DeKalb, AL",78641
"DeKalb, GA",134180.12
"DeKalb, IL",14353
"DeKalb, IN",744449.53
"DeKalb, TN",5904
"DeSoto, MS",335245.77
"Deaf Smith, TX",0
"Dearborn, IN",3130523.06
"Decatur, GA",4183.06
"Decatur, IN",10005
"Decatur, TN",1.1
"Defiance, OH",1571054.49
"Delaware, IA",2534.76
"Delaware, IN",27702
"Delaware, NY",166421.24
"Delaware, OH",25685
"Delaware, PA",302925.2
"Delta, CO",1.493
"Delta, MI",604727.7
"Denali, AK",3.81
"Dent, MO",8625
"Denton, TX",22889.6
"Denver, CO",144516.27
"Des Moines, IA",142692.62
"Deschutes, OR",3366
"Desha, AR",926022
"Deuel, SD",0
"Dickinson, IA",5665
"Dickinson, KS",0
"Dickinson, MI",299763.6
"Dickson, TN",1668181
"Dillon, SC",87.4
"Dinwiddie, VA",2833.0112
"District of Columbia, DC",1066.4986
"Dixie, FL",2.5
"Dodge, MN",27615.93
"Dodge, NE",429
"Dodge, WI",288083.3967
"Dona Ana, NM",15825
"Doniphan, KS",6810
"Dooly, GA",168295
"Door, WI",12310
"Dorado, PR",57.57
"Dorchester, MD",0.0057
"Dorchester, SC",287031.931
"Dougherty, GA",152530.23
"Douglas, CO",35017.2
"Douglas, GA",8169
"Douglas, IL",533680
"Douglas, KS",39980.491
"Douglas, MN",18360
"Douglas, NE",255056
"Douglas, NV",2000
"Douglas, OR",574536
"Douglas, WA",0.0054
"Douglas, WI",88569.8
"DuPage, IL",172137.305
"Dubois, IN",312658.92
"Dubuque, IA",93419.1
"Dukes, MA",590
"Dunklin, MO",0
"Dunn, WI",165939
