County,Total Air Releases
"Webster, KY",0
"Webster, LA",89129.49
"Webster, MO",50
"Weld, CO",215521.13
"Wells, IN",0
"West Baton Rouge, LA",199625.5002
"West Feliciana, LA",213664.4
"Westchester, NY",7668.84
"Westmoreland, PA",143858.2853
"Westmoreland, VA",16740
"Weston, WY",8249.69
"Wexford, MI",602908.082
"Wharton, TX",11172
"Whatcom, WA",801878.75
"White Pine, NV",100
"White, AR",1605
"White, IN",94121
"White, TN",0
"Whiteside, IL",18030.06
"Whitfield, GA",29762.4068
"Whitley, IN",34328.19
"Whitley, KY",28606.5
"Whitman, WA",0.1452
"Wichita, KS",0
"Wichita, TX",332339.572
"Wicomico, MD",306838
"Wilbarger, TX",46518.6
"Wilcox, AL",847191.2
"Wilkes, NC",360725.08
"Will, IL",1388267.212
"Williams, OH",56524.22
"Williamsburg, SC",6105
"Williamson, IL",54320
"Williamson, TN",17640
"Williamson, TX",28824.11031
"Wilson, KS",337610.1135
"Wilson, NC",211370.3
"Wilson, TN",1442
"Wilson, TX",20460
"Winchester City, VA",30885
"Windham, CT",60242.9
"Windham, VT",1300.13
"Windsor, VT",0
"Winkler, TX",469
"Winn, LA",138243.67
"Winnebago, IA",21220
"Winnebago, IL",58971.5
"Winnebago, WI",81373.24
"Winona, MN",20753.209
"Winston, AL",9449
"Winston, MS",209152
"Wirt, WV",17824
"Wise, TX",165780
"Wise, VA",8.8
"Wood, OH",164347.96
"Wood, WI",4068552.38
"Wood, WV",716308.4705
"Woodbury, IA",1424591.69
"Woodford, KY",478993.1
"Woods, OK",7100
"Woodward, OK",71490.21
"Worcester, MA",121137.7358
"Worcester, MD",0
"Worth, IA",7068
"Wright, IA",388693
"Wright, MN",4960
"Wright, MO",26588
"Wyandot, OH",49327
"Wyandotte, KS",505796.0231
"Wyoming, NY",95986.6
"Wyoming, PA",18.5
"Wyoming, WV",6202.808326
"Yabucoa, PR",99023.01
"Yadkin, NC",0
"Yakima, WA",249333.249
"Yalobusha, MS",14308.18
"Yamhill, OR",53101.936
"Yankton, SD",196725.8817
"Yates, NY",2938
"Yauco, PR",79040
"Yavapai, AZ",2994.53
"Yazoo, MS",80372
"Yell, AR",0
"Yellowstone, MT",308090.46
"Yolo, CA",95747.756
"York, ME",65327.6883
"York, NE",15918
"York, PA",6148913.475
"York, SC",1106318.85
"York, VA",875999.8
"Young, TX",3400
"Yuba, CA",0
"Yuma, AZ",1358.2
"Yuma, CO",0
