CustID	TripID	DatePch	SaleAmt	SalesQty
656479	505	2006-05-01	7198	1
656571	118	2004-08-09	2549	2
656571	207	2005-04-13	3274	1
656571	418	2005-10-07	4369	1
656621	118	2004-08-09	2524	1
656621	167	2005-01-12	5783	3
656621	417	2005-10-03	6768	1
656624	118	2004-08-10	2524	1
656624	149	2005-01-19	859	3
656624	207	2005-09-06	2154	3
656624	244	2005-11-09	1669	1
656624	464	2006-03-15	500	1
656624	279	2006-04-13	3672	3
657014	58	2003-08-27	8006	5
657583	55	2003-04-04	2994	3
657583	3	2003-06-12	2354	1
657583	167	2004-04-23	3134	1
657583	116	2004-06-28	1324	4
657583	94	2004-11-13	1389	1
657583	269	2005-04-15	3919	1
657583	207	2005-07-06	1294	2
657583	417	2005-09-27	3569	1
657731	296	2005-07-28	2898	1
657731	269	2006-03-15	5019	1
658618	33	2003-04-30	1918	2
658618	139	2004-05-08	6486	5
661794	33	2003-04-30	1879	1
661794	139	2004-05-08	6486	5
664036	242	2005-11-08	4019	1
664036	441	2006-02-09	3919	1
664095	139	2004-10-29	8376	5
664095	308	2005-08-01	3649	1
664095	243	2006-01-03	1669	1
664095	271	2006-03-09	1719	1
664095	464	2006-03-15	250	1
666209	164	2004-05-17	1434	1
666209	170	2005-04-16	863	1
666209	278	2005-05-16	2979	1
666209	282	2005-05-16	2979	1
666504	166	2004-06-10	3334	1
666504	269	2006-01-19	4019	1
666687	136	2004-03-14	1198	1
666687	143	2004-10-11	9109	1
666687	177	2005-01-31	11931	4
668207	142	2004-04-29	4909	1
668207	189	2005-11-05	2275	1
668207	277	2006-05-09	2409	1
668207	281	2006-05-09	3408	3
668207	466	2006-05-09	3378	1
670746	448	2006-03-15	7774	1
671992	142	2005-03-22	5338	2
671992	278	2006-05-11	2887	3
673022	164	2004-05-17	1473	2
673022	170	2005-04-16	863	1
673022	278	2005-05-16	2979	1
673022	282	2005-05-16	2979	1
673596	179	2004-09-07	7031	4
673596	210	2005-09-20	1699	2
673596	308	2005-09-20	3549	1
673596	272	2005-11-13	1719	1
673596	487	2006-05-01	4349	2
673806	169	2004-08-16	1937	3
673806	288	2005-05-17	1628	1
673806	488	2006-05-10	5249	1
673912	210	2005-10-18	725	2
673912	269	2005-10-18	2720	2
673912	505	2006-05-02	7098	1
674063	518	2006-05-08	10271	1
674990	167	2004-04-23	3134	1
674990	116	2004-06-28	2324	4
674990	94	2004-11-13	1389	1
674990	269	2005-04-15	3919	1
674990	207	2005-07-06	3294	2
674990	417	2005-09-27	3569	1
675248	21	2004-06-07	2379	1
675248	84	2004-08-21	2299	1
675248	258	2005-08-09	1769	2
675248	211	2005-09-02	1599	1
676159	97	2004-12-06	1239	1
676159	208	2005-03-09	2674	1
676159	243	2005-08-09	2369	2
676159	280	2005-11-08	3859	1
677856	74	2004-04-29	5807	3
677856	270	2006-03-23	1669	2
680698	139	2005-02-16	8475	5
680865	147	2004-05-07	2634	2
680865	118	2004-06-30	2149	3
680865	284	2005-05-19	3749	4
680865	474	2006-04-07	2019	2
680927	93	2004-01-27	6317	6
680927	418	2005-09-30	4369	3
680958	57	2003-08-27	8019	1
680958	321	2006-03-01	7697	3
680968	40	2003-01-30	2389	2
680968	179	2004-07-22	5881	5
680968	421	2005-09-28	2069	1
681225	277	2006-03-04	5358	1
681225	281	2006-03-04	5358	1
681339	124	2004-07-20	2013	2
681339	321	2005-08-03	5698	1
681388	5	2003-12-02	255	1
681388	285	2005-11-18	2349	1
681388	410	2006-03-14	2169	1
681388	467	2006-03-14	3878	1
681489	58	2003-09-11	9317	7
681489	321	2005-07-27	5698	1
682128	181	2005-01-11	5981	8
682128	421	2005-09-21	2369	2
682420	143	2004-08-17	9626	7
682420	288	2005-07-25	2127	2
682420	421	2005-10-04	2069	1
682471	58	2004-02-09	9118	6
682471	21	2004-02-12	4768	6
682471	277	2005-04-27	2999	1
682471	281	2005-04-27	2949	1
682471	246	2005-11-07	1769	1
682485	2	2003-01-30	2154	1
682485	22	2004-05-25	1829	1
682485	66	2004-07-31	1088	1
682485	100	2004-10-28	839	2
682485	84	2005-03-24	2996	2
682485	258	2005-10-28	320	1
682485	510	2006-05-01	2223	1
682564	430	2006-05-16	7671	1
682570	26	2003-07-15	2616	4
682570	170	2004-07-14	1586	3
682570	260	2005-05-17	1619	1
682570	489	2006-04-28	3949	2
682596	97	2004-12-13	968	1
682596	166	2004-12-13	3559	1
682596	178	2005-07-27	3997	3
